currency_code,unit,date,buying_rate,selling_rate,middle_rate
KHR,100,2026-03-09,0.098,0.0992,0.0986
VND,100,2026-03-09,0.0151,0.0152,0.0151
USD,1,2026-03-09,3.965,3.972,3.9685
TWD,100,2026-03-09,12.4447,12.4784,12.4615
THB,100,2026-03-09,12.329,12.3584,12.3437
SGD,1,2026-03-09,3.0851,3.0925,3.0888
SDR,1,2026-03-09,,,5.4055
SAR,100,2026-03-09,105.6376,105.8353,105.7364
PKR,100,2026-03-09,1.4168,1.4237,1.4202
PHP,100,2026-03-09,6.7134,6.7311,6.7222
NZD,1,2026-03-09,2.3215,2.326,2.3238
NPR,100,2026-03-09,2.701,2.7061,2.7035
MMK,100,2026-03-09,0.1894,0.1897,0.1895
KRW,100,2026-03-09,0.2652,0.2658,0.2655
AED,100,2026-03-09,107.947,108.1434,108.0452
JPY,100,2026-03-09,2.4991,2.5036,2.5013
INR,100,2026-03-09,4.3127,4.3208,4.3167
IDR,100,2026-03-09,0.0234,0.0235,0.0235
HKD,100,2026-03-09,50.7397,50.8338,50.7867
GBP,1,2026-03-09,5.2723,5.2843,5.2783
EUR,1,2026-03-09,4.5657,4.5753,4.5705
EGP,1,2026-03-09,0.076,0.0763,0.0761
CNY,1,2026-03-09,0.5748,0.5759,0.5754
CHF,1,2026-03-09,5.0703,5.0819,5.0761
CAD,1,2026-03-09,2.9154,2.921,2.9182
BND,1,2026-03-09,3.0856,3.0923,3.0889
AUD,1,2026-03-09,2.76,2.7673,2.7637
