date,buying,selling
2026-01-02,4.04,4.065
2026-01-05,4.047,4.072
2026-01-06,4.047,4.072
2026-01-07,4.035,4.06
2026-01-08,4.043,4.068
2026-01-09,4.049,4.074
2026-01-12,4.053,4.078
2026-01-13,4.043,4.068
2026-01-14,4.043,4.068
2026-01-15,4.031,4.056
2026-01-16,4.041,4.066
2026-01-19,4.037,4.062
2026-01-20,4.035,4.06
2026-01-21,4.038,4.063
2026-01-22,4.028,4.053
2026-01-23,4.006,4.031
2026-01-26,3.958,3.983
2026-01-27,3.951,3.976
2026-01-28,3.905,3.93
2026-01-29,3.897,3.922
2026-01-30,3.919,3.944
2026-02-03,3.939,3.964
2026-02-04,3.911,3.936
2026-02-05,3.919,3.944
2026-02-06,3.937,3.962
2026-02-09,3.912,3.937
2026-02-10,3.907,3.932
2026-02-11,3.902,3.927
2026-02-12,3.894,3.919
2026-02-13,3.885,3.91
2026-02-16,3.885,3.91
2026-02-19,3.895,3.92
2026-02-20,3.888,3.913
2026-02-23,3.869,3.894
2026-02-24,3.87,3.895
2026-02-25,3.877,3.902
2026-02-26,3.865,3.89
2026-02-27,3.873,3.898
2026-03-02,3.887,3.912
2026-03-03,3.913,3.938
2026-03-04,3.922,3.947
2026-03-05,3.913,3.938
2026-03-06,3.93,3.955
2026-03-09,3.953,3.978
2026-03-10,3.919,3.944
2026-03-11,3.908,3.933
2026-03-12,3.913,3.938
2026-03-13,3.911,3.936
